Day,Date,Start,Finished,Time,Earn,Perhour,NoOfDeliveries,IncomePerDelivery,IncomeInDistance,Bonus
Monday,9.4.2018,15:30:00,21:30:00,6.00,63.40,11.78,14,5.02,17.20,25.00
Tuesday,10.4.2018,15:30:00,21:30:00,6.00,62.09,11.56,14,4.93,15.89,25.00	
Wednsday,11.4.2018,15:30:00,22:00:00,6.50,74.31,12.64,19,4.41,4.61,0.00	
Thursday,12.4.2018,15:30:00,20:30:00,5.00,40.46,9.30,11,4.17,4.16,0.00	
Friday,13.4.2018,15:30:00,22:15:00,6.75,85.66,13.90,18,5.25,13.06,0.00	
Saturday,14.4.2018,16:00:00,21:30:00,5.50,62.80,12.63,13,5.33,4,30			
Sunday,15.4.2018,16:00:00,21:30:00,5.50,61.74,12.44,12,5.64,7.74			
